term,value,std.error,used
full_baths,3292.0851446231454,6.299034301148465,25
finished_living_area,3120.3080553969626,6.7595337636115875,25
house_age_at_sale,1970.8398522893224,7.85941132506621,25
lot_area,1896.747980713925,57.847734939133694,25
bedrooms,1571.4520318531668,7.334823153087093,25
half_baths,1383.2499606049898,10.410099570868699,25
grade_desc_Below.Average.or.worse,1304.6018624624346,11.630483404214843,25
grade_desc_Good,1240.0672870838105,6.772906482961891,25
ac_flag_FALSE.,643.7376149144834,11.677679987176948,25
sale_year,554.6717499020131,2.1972505678931302,25
style_desc_Colonial,548.6492204134421,57.02313966196641,25
grade_desc_Very.Good.or.better,353.981812699899,2.379619504500151,25
condition_desc_Fair,261.24304214176243,4.518838314621425,25
style_desc_Old.Style,230.7351063210777,2.903090676515782,25
condition_desc_Poor.or.worse,178.25545496529298,2.3620674248576377,25
style_desc_Ranch,146.14341572651358,3.24318434277195,25
style_desc_style_other,117.06664588796741,4.075962717057935,25
geo_id_City.Council.District.8,78.68685797962922,1.1877948015403967,25
geo_id_Mt..Lebanon,67.7965962031461,0.9951117662636089,25
geo_id_McKeesport.Area,67.72976721571757,1.1104911086733558,25
geo_id_Penn.Hills,59.51111480842573,0.6213619438211867,25
geo_id_City.Council.District.5,48.54197079944765,0.6219855813253778,25
geo_id_City.Council.District.7,46.04858671111455,0.9892823911864657,25
geo_id_City.Council.District.3,38.36270772729364,0.8318910708625584,25
condition_desc_Good,37.88018008195755,0.6713497852037609,25
geo_id_Clairton.City,35.44568459092522,0.6620361220870272,25
condition_desc_Very.Good.or.better,30.10328128168222,1.3021292503852864,25
geo_id_City.Council.District.9,24.91660453819801,0.7360874045962589,25
sale_month_Apr,23.68736397794089,0.6802190731782174,25
geo_id_Wilkinsburg,23.447968684655798,0.8810936819615257,25
geo_id_Fox.Chapel.Area,22.95884788725091,0.5283886108955003,25
sale_month_Aug,22.791917424344984,0.47634278908513916,25
geo_id_North.Allegheny,21.97467256470405,0.38849650608114883,25
geo_id_Woodland.Hills,21.77375983325676,0.39402326418242317,25
sale_month_May,21.454509990213072,0.3707374110630453,25
geo_id_North.Hills,20.944454583073547,0.4884756875642099,25
sale_month_Mar,20.799688839539535,0.47078679504167525,25
sale_month_Jan,20.720800445549,0.5659316605464235,25
sale_month_Jul,20.53462897275359,0.31627325955749197,25
sale_month_Oct,20.229430074417547,0.4101426595932985,25
sale_month_Nov,20.095950401643893,0.4964354110785349,25
sale_month_Feb,19.75510135191588,0.4248965297613311,25
sale_month_Sep,19.65214374056969,0.4592433092978429,25
sale_month_Dec,19.35517001946427,0.5440656837511452,25
geo_id_school_other,18.810908141500484,0.7176687952545927,25
geo_id_City.Council.District.6,16.34684038929839,0.6732158644447532,25
geo_id_City.Council.District.1,14.676583685261361,0.40702575059798285,25
geo_id_Keystone.Oaks,14.38916308141459,0.38802891969967457,25
geo_id_Shaler.Area,14.386869878613043,0.38593594883296445,25
geo_id_East.Allegheny,14.247295998610214,0.4430532942955449,25
geo_id_Sto.Rox,14.087016472914625,0.441366511995865,25
geo_id_City.Council.District.2,13.992381271180504,0.4751364876586216,25
geo_id_Elizabeth.Forward,13.460039571255063,0.4257865384859197,25
geo_id_Quaker.Valley,13.127690512881763,0.38676588279601243,25
geo_id_West.Mifflin.Area,13.08049563354776,0.3543257902696127,25
geo_id_Chartiers.Valley,12.366516448405767,0.34163016015833647,25
geo_id_City.Council.District.4,12.052415002830166,0.30830483826939736,25
geo_id_Highlands,11.777390781575212,0.35740720824712424,25
geo_id_South.Allegheny,11.516114787292178,0.3053411701940023,25
geo_id_Montour,11.119431239995105,0.3954071571919556,25
geo_id_Baldwin.Whitehall,10.138678945795593,0.25014270303276964,25
geo_id_Plum.Borough,9.54316300625288,0.32710797738755426,25
geo_id_Gateway,9.449904291960761,0.23427267758087203,25
geo_id_Moon.Area,9.36653488159666,0.20343806836441408,25
geo_id_Steel.Valley,9.21976686777106,0.2888228351926848,25
geo_id_West.Allegheny,7.324419254001583,0.16274340654440225,25
geo_id_Bethel.Park,7.0606245255860935,0.26599708982620823,25
geo_id_Deer.Lakes,6.9511944867889985,0.27489773586136745,25
geo_id_West.Jefferson.Hills,6.773012022263645,0.28001526091926193,25
geo_id_Hampton.Township,6.420184888735265,0.25941471952809186,25
geo_id_Upper.St..Clair.Area,6.381699689511446,0.2223711291246301,25
geo_id_Pine.Richland,6.280207238582516,0.18455703142658947,25
geo_id_South.Fayette.Township,6.074893334439193,0.25929851102876145,25
heat_type_Other,6.031646917141175,0.2168598620899819,25
geo_id_Riverview,5.87447012112413,0.20784769308554515,25
geo_id_South.Park,5.862887796211993,0.2665976201924855,25
geo_id_Carlynton,5.80081758311656,0.1270592649871383,25
geo_id_Northgate,5.441856152514304,0.1661280519498644,25
geo_id_Avonworth,5.321753874582221,0.22522617770556277,25
geo_id_Cornell,3.0741546566731315,0.11252983326215009,25
geo_id_Brentwood.Borough,2.993396968255833,0.12687710079356312,25
heat_type_None,1.762173489899719,0.1453461714592846,25
heat_type_Missing,0.7575421271916346,0.0760017404509285,25
